,Overall Rank,City_x,State_x,Combine,Total Score,City_y,Density,Population,square miles,StateL,State_y
167,168,Akron,OH,AkronOH,44.05,Akron,3186,197633,62, Ohio,OH
168,169,Cincinnati,OH,CincinnatiOH,43.5,Cincinnati,3834,298800,78, Ohio,OH
169,170,Fort Smith,AR,Fort SmithAR,43.33,Fort Smith,1422,88133,62, Arkansas,AR
170,171,St. Louis,MO,St. LouisMO,42.85,St. Louis,5030,311404,62, Missouri,MO
171,172,Augusta,GA,AugustaGA,42.38,Augusta,659,201800,306, Georgia,GA
172,173,Mobile,AL,MobileAL,42.22,Mobile,1387,192904,139, Alabama,AL
173,174,Newark,NJ,NewarkNJ,41.86,Newark,11648,281764,24, New Jersey,NJ
174,175,Huntington,WV,HuntingtonWV,41.58,Huntington,2550,47079,18, West Virginia,WV
175,176,Little Rock,AR,Little RockAR,41.4,Little Rock,1666,198541,119, Arkansas,AR
176,177,Gulfport,MS,GulfportMS,41.06,Gulfport,1297,72076,56, Mississippi,MS
177,178,Cleveland,OH,ClevelandOH,40.81,Cleveland,4965,385809,78, Ohio,OH
178,179,Birmingham,AL,BirminghamAL,40.78,Birmingham,1452,212157,146, Alabama,AL
179,180,Charleston,WV,CharlestonWV,39.68,Charleston,587,47929,82, West Virginia,WV
180,181,Toledo,OH,ToledoOH,39.48,Toledo,3452,278508,81, Ohio,OH
181,182,Detroit,MI,DetroitMI,29.19,Detroit,4849,672795,139, Michigan,MI
