Overall Rank,City,State,City/State,Total Score,Emotional & Physical Well-Being,Income & Employment ,Community & Environment,Recreational,Medical,Bars Average Yelp Rating,Bars Count of Reviews,Bar Count,Cannabis Shop Average Yelp Rating,Cannabis Shop Count of Reviews,Cannabis Shop Count
121,Richmond,VA,"Richmond, VA",52.66,104,139,157,misdemeanor,CBD oil,4.0,14259.0,50.0,,,
122,Tacoma,WA,"Tacoma, WA",52.59,109,140,153,legal,legal,3.97,15618.0,50.0,3.4166666666666665,60.0,6.0
123,Warwick,RI,"Warwick, RI",52.41,136,44,151,decriminalized,legal,3.7857142857142856,1911.0,14.0,,,
124,Lubbock,TX,"Lubbock, TX",52.29,133,16,142,illegal,CBD oil,3.5813953488372094,3232.0,43.0,,,
125,Casper,WY,"Casper, WY",51.99,161,71,97,misdemeanor,CBD oil,3.411764705882353,558.0,17.0,,,
126,Kansas City,MO,"Kansas City, MO",51.96,110,148,129,decriminalized,legal,4.1923076923076925,20444.0,52.0,5.0,2.0,2.0
127,Phoenix,AZ,"Phoenix, AZ",51.94,87,136,172,Illegal,legal,4.1923076923076925,30494.0,52.0,3.7125,964.0,40.0
128,Oklahoma City,OK,"Oklahoma City, OK",51.59,155,110,38,illegal,legal,4.15,11157.0,50.0,5.0,3.0,1.0
129,Corpus Christi,TX,"Corpus Christi, TX",51.5,145,15,124,illegal,CBD oil,3.608695652173913,3292.0,46.0,,,
130,Winston-Salem,NC,"Winston-Salem, NC",51.44,116,118,141,decriminalized,CBD oil,3.9166666666666665,3730.0,36.0,,,
131,Juneau,AK,"Juneau, AK",51.21,160,3,175,legal,legal,3.75,1122.0,18.0,4.0,8.0,3.0
132,Albuquerque,NM,"Albuquerque, NM",51.15,123,111,150,illegal,legal,3.989795918367347,11218.0,49.0,3.625,62.0,8.0
133,Columbus,OH,"Columbus, OH",51.14,128,133,111,decriminalized,legal,3.7790697674418605,17952.0,86.0,,,
134,Bakersfield,CA,"Bakersfield, CA",50.98,139,74,126,legal,legal,3.76,10110.0,50.0,5.0,6.0,2.0
135,Bridgeport,CT,"Bridgeport, CT",50.92,88,169,161,decriminalized,legal,3.75,1032.0,16.0,,,
136,Jacksonville,FL,"Jacksonville, FL",50.55,153,95,72,illegal,legal,4.112244897959184,13246.0,49.0,4.0,22.0,1.0
137,Knoxville,TN,"Knoxville, TN",50.43,166,62,32,misdemeanor,CBD oil,4.05,6963.0,50.0,,,
138,Louisville,KY,"Louisville, KY",50.31,158,124,42,misdemeanor,CBD oil,4.24,13212.0,50.0,,,
139,Norfolk,VA,"Norfolk, VA",49.97,129,129,143,misdemeanor,CBD oil,3.8013698630136985,16811.0,73.0,,,
140,Chattanooga,TN,"Chattanooga, TN",49.94,167,99,40,misdemeanor,CBD oil,4.0212765957446805,8112.0,47.0,,,
141,Wichita,KS,"Wichita, KS",49.79,138,131,130,misdemeanor,CBD oil,3.7653061224489797,3237.0,49.0,,,
142,Worcester,MA,"Worcester, MA",49.77,125,149,159,legal,legal,3.7209302325581395,5275.0,43.0,5.0,2.0,2.0
143,Rochester,NY,"Rochester, NY",49.76,134,142,140,decriminalized,legal,4.053191489361702,7696.0,47.0,,,
144,San Bernardino,CA,"San Bernardino, CA",49.56,124,134,166,legal,legal,3.4565217391304346,4671.0,23.0,3.0,6.0,1.0
145,Buffalo,NY,"Buffalo, NY",49.22,144,126,117,decriminalized,legal,4.040816326530612,10683.0,49.0,,,
146,Fresno,CA,"Fresno, CA",48.86,127,119,158,legal,legal,3.8854166666666665,13169.0,48.0,3.5,3.0,1.0
147,Milwaukee,WI,"Milwaukee, WI",48.75,122,172,147,misdemeanor,CBD oil,4.17,14898.0,50.0,,,
148,Baton Rouge,LA,"Baton Rouge, LA",48.56,140,93,168,illegal,legal,3.8541666666666665,4787.0,48.0,,,
149,Stockton,CA,"Stockton, CA",48.35,118,150,165,legal,legal,3.511627906976744,5254.0,43.0,3.5,68.0,2.0
150,Spokane,WA,"Spokane, WA",48.08,142,91,176,legal,legal,4.17,10002.0,50.0,4.4,43.0,5.0
151,Indianapolis,IN,"Indianapolis, IN",47.83,147,177,89,misdemeanor,CBD oil,4.16,17964.0,50.0,,,
152,Fort Wayne,IN,"Fort Wayne, IN",47.63,152,143,132,misdemeanor,CBD oil,3.625,2434.0,44.0,,,
