Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State,Top-Bottom
376 Market St,Pubs,American (Traditional),,,Newark,730.8326904588965,Bello's Pub & Grill,False,$$,4.5,148,NJ,2.5 Mile Radius
77 Ferry St,Spanish,Wine Bars,Lounges,,Newark,931.3605161892273,Mompou Tapas Bar and Restaurant,False,$$,3.5,344,NJ,2.5 Mile Radius
56 Halsey St,American (New),Bars,,,Newark,587.4329920695212,Marcus B&P,False,$$,4.0,203,NJ,2.5 Mile Radius
58-60 New St,Bars,Irish,,,Newark,576.3838066169958,Mc Govern's Tavern,False,$$,4.0,103,NJ,2.5 Mile Radius
538 Market St,Tapas Bars,Spanish,Lounges,,Newark,1456.27826665099,Catas,False,$$,4.0,147,NJ,2.5 Mile Radius
129 Elm St,Portuguese,Bars,,,Newark,910.4730766190846,PortuCale Restaurant & Bar,False,$$,4.0,150,NJ,2.5 Mile Radius
440 Harrison Ave,Italian,Bars,Venues & Event Spaces,,Harrison,1966.132905938005,La Fiamma,False,$$,4.5,92,NJ,2.5 Mile Radius
575 W Side Ave,Pubs,,,,Jersey City,7752.245034458399,New Park Tavern,False,$,4.5,184,NJ,5 Mile Radius
215 Manor Ave,Portuguese,Sports Bars,American (Traditional),,Harrison,2245.0046043942048,Vinnie's All-Star Bar & Grill,False,$$,5.0,33,NJ,2.5 Mile Radius
229 Centre St,American (New),Pubs,,,Nutley,8681.028076964627,Cowan's Public,False,$$,4.0,368,NJ,7.5 Mile Radius
70 Kingsland Rd,Tapas/Small Plates,Italian,Wine Bars,,Clifton,10448.629681631004,Spuntino Wine Bar & Italian Tapas,False,$$,4.0,613,NJ,7.5 Mile Radius
409 Franklin St,Steakhouses,Seafood,Bars,,Bloomfield,6726.12692234982,Bloomfield Steak & Seafood House,False,$$,4.0,349,NJ,5 Mile Radius
58 Kossuth St,Portuguese,Seafood,Wine Bars,,Newark,2375.5628428552623,Allegro Seafood Grill,False,$$,3.5,115,NJ,2.5 Mile Radius
90 Ferry St,Sushi Bars,Tapas Bars,Lounges,,Newark,1008.6771756549581,Manu's Tapas Bar & Sushi Lounge,False,$$,3.0,135,NJ,2.5 Mile Radius
1637 Vauxhall Rd,Burgers,Beer Bar,Sandwiches,,Union,7955.873241744225,Tiff's Burger & Alehouse,False,$$,4.0,261,NJ,5 Mile Radius
615 Frank E Rodgers Blvd S,Italian,Pizza,Bars,,Harrison,1485.7015850721714,Ah' Pizz - Harrison,False,$$,4.0,93,NJ,2.5 Mile Radius
637 Market St,Portuguese,Seafood,Bars,,Newark,1901.621544866173,Coimbra Bar & Restaurant,False,$$,3.5,60,NJ,2.5 Mile Radius
224 Grant Ave,Spanish,Bars,Portuguese,,East Newark,2015.5166804557066,Pic-Nic Bar & Restaurant,False,$$,4.0,82,NJ,2.5 Mile Radius
323 Ridge Rd,Coffee & Tea,Breakfast & Brunch,Lounges,,North Arlington,7125.170073669216,KTB Coffee Shop & Lounge,False,$,4.0,137,NJ,5 Mile Radius
203 Frank E Rodgers Blvd S,Bars,American (Traditional),,,Harrison,1665.4550274056423,The Greenroom,False,$$,4.0,42,NJ,2.5 Mile Radius
27 Central Ave,Pubs,Irish Pub,,,Newark,759.4406664060377,Kilkenny Alehouse,False,$$,3.5,81,NJ,2.5 Mile Radius
23 Newark International Airport St,Cocktail Bars,American (New),American (Traditional),,Newark,4284.0434086244695,Classified,False,$$$,3.5,65,NJ,5 Mile Radius
850 State Rte 3,Wine Bars,American (Traditional),Salad,,Clifton,11591.425313642663,Zinburger Wine & Burger Bar,False,$$,3.5,723,NJ,7.5 Mile Radius
339 Communipaw Ave,Caribbean,Gastropubs,Cocktail Bars,,Jersey City,9620.830794136637,Harry's Daughter,False,$$,4.5,148,NJ,7.5 Mile Radius
433 Kingsland St,American (New),Steakhouses,Bars,,Nutley,10909.196948154402,MEAL,False,$$$,4.0,276,NJ,7.5 Mile Radius
844 Newark Ave,Pubs,Sports Bars,Burgers,,Elizabeth,6542.298207186563,Nugent's Tavern Irish Pub & Grill,False,$$,4.0,123,NJ,5 Mile Radius
10 Toler Pl,Airport Lounges,,,,Newark,4353.924231793616,United Club,False,$$,2.5,237,NJ,5 Mile Radius
214 Market St,Burgers,Bars,Sandwiches,,Newark,110.26229314817007,Novelty Burger and Bar,False,$$,3.5,82,NJ,2.5 Mile Radius
248 Mulberry St,Dance Clubs,Bars,Music Venues,,Newark,547.7003924020498,QXT's Night Club,False,$,3.5,43,NJ,2.5 Mile Radius
304 University Ave,Italian,Bars,American (Traditional),,Newark,416.2247280076853,Suite 304 Bar & Restaurant,False,$$,4.0,32,NJ,2.5 Mile Radius
3 Brewster Rd,Airport Lounges,,,,Newark,4341.121662983128,United Airlines Polaris Lounge,False,$$$$,4.0,23,NJ,5 Mile Radius
118 Stockton St,Southern,Sports Bars,Steakhouses,,Newark,2610.6093462372337,City Rub Smokehouse,False,$$,3.5,62,NJ,2.5 Mile Radius
44 Prospect St,Bars,American (Traditional),Karaoke,,Newark,901.5785801469541,Sagres Bar And Grill,False,$$,3.0,96,NJ,2.5 Mile Radius
1 Merchant St,Sports Bars,Brazilian,Barbeque,,Newark,1594.8950864103565,Boi Na Brasa,False,$$,3.0,84,NJ,2.5 Mile Radius
233 Harrison Ave,Pubs,,,,Harrison,1623.275934833144,O'Donnell's Pub,False,$$,5.0,14,NJ,2.5 Mile Radius
788 Garfield Ave,Pubs,Cocktail Bars,,,Jersey City,8916.288290974899,O'Leary's Publik House,False,$,4.5,59,NJ,7.5 Mile Radius
11 Schuyler St,Spanish,Tapas Bars,Bars,,Staten Island,12977.465672454331,Beso,False,$$,4.0,467,NY,10 Mile Radius
60 Vanduzer St,Bars,Barbeque,,,Tompkinsville,13568.600291011788,Craft House,False,$$,4.5,302,NY,10 Mile Radius
395 Bloomfield Ave,Pubs,American (Traditional),,,Caldwell,14819.863966091652,Cloverleaf Tavern,False,$$,4.0,581,NJ,10 Mile Radius
1 Hotel Rd,American (New),Lounges,,,Newark,4832.951693558215,Aviation Grill,False,$$,4.0,32,NJ,5 Mile Radius
18 Hensler St,Bars,American (New),,,Newark,1928.8988183525187,Primabel Bar & Restaurant,False,$$,4.5,14,NJ,2.5 Mile Radius
233 Franklin Ave,American (Traditional),Italian,Bars,,Nutley,8962.280641556627,Luna Wood Fire Tavern,False,$$,4.0,184,NJ,7.5 Mile Radius
118 Walnut St,Bars,Gastropubs,Irish,,Montclair,9757.40793396559,Egan & Sons,False,$$,3.5,395,NJ,7.5 Mile Radius
117 Chestnut St,Irish Pub,American (Traditional),,,Roselle Park,11243.491871768454,Dowling's Irish Pub and Restaurant,False,$$,4.5,94,NJ,7.5 Mile Radius
Newark Airport,Airport Lounges,,,,Newark,5192.9537069855105,Delta Sky Club,False,$$$,3.5,33,NJ,5 Mile Radius
1 Distillery Dr,Distilleries,Cocktail Bars,,,Jersey City,9509.891613053342,Corgi Spirits,False,$$,4.5,56,NJ,7.5 Mile Radius
279 9th St,Mexican,Pubs,American (Traditional),,Huntington,1105.6063568006202,Black Sheep Burrito & Brews,False,$$,4.0,217,WV,2.5 Mile Radius
833 3rd Ave,Pizza,Bars,,,Huntington,1096.0033837337255,Backyard Pizza and Raw Bar,False,$$,4.5,100,WV,2.5 Mile Radius
940 4th Ave,Wine Bars,Seafood,Burgers,,Huntington,919.8254254122251,21 At The Frederick,False,$$$,4.5,38,WV,2.5 Mile Radius
5340 US Route 60,American (New),Wine Bars,Lounges,,Huntington,8362.250281405673,Christopher's Eats,False,$$,4.0,84,WV,7.5 Mile Radius
321 9th St,Beer Bar,Whiskey Bars,,,Huntington,1041.2616574316216,Summit Beer Station,False,$$,5.0,19,WV,2.5 Mile Radius
1935 3rd Ave,Desserts,Bars,American (Traditional),,Huntington,1013.6525072530768,Fat Patty's,False,$$,3.5,79,WV,2.5 Mile Radius
1318 4th Ave,Burgers,Steakhouses,Beer Bar,,Huntington,484.50811118517817,Huntington Ale House,False,$$,4.0,67,WV,2.5 Mile Radius
210 11th St,Wine Bars,,,,Huntington,865.0070042131371,Sip Wine and Whiskey Bar,False,$$,4.5,15,WV,2.5 Mile Radius
905 3rd Ave,Tapas Bars,Cocktail Bars,Wine Bars,,Huntington,1023.5900805776567,The Cellar Door,False,$$,4.0,35,WV,2.5 Mile Radius
26 Pullman Sq,Chicken Wings,Sports Bars,,,Huntington,1017.6096295135862,Roosters,False,$$,3.5,54,WV,2.5 Mile Radius
938 4th Ave,Cocktail Bars,,,,Huntington,930.7581681808618,The Jockey Club,False,$$,5.0,8,WV,2.5 Mile Radius
932 4th Ave,American (New),Pubs,,,Huntington,938.1079436020366,St. Mark's Pub & Grill,False,$$,4.5,5,WV,2.5 Mile Radius
1135 Third Ave,American (Traditional),Sports Bars,Burgers,,Huntington,701.2648545618953,Applebee's Grill + Bar,False,$$,2.5,17,WV,2.5 Mile Radius
