city - Original,City,State - Long,State,2010,2011,2012,2013,2014,2015,2016,2017
Turlock city,Turlock, California,CA,68768,69217,69748,70319,70970,71909,72751,73556
Pittsburg city,Pittsburg, California,CA,63535,64592,65618,66762,68103,69363,70900,72141
Redlands city,Redlands, California,CA,68813,69359,69728,69924,70364,70797,71196,71554
Lynwood city,Lynwood, California,CA,69615,69734,70728,71340,71427,71668,71294,71099
Walnut Creek city,Walnut Creek, California,CA,64338,64880,65630,66933,67635,68853,69332,69773
Davis city,Davis, California,CA,65590,65696,65879,66322,66691,67481,68118,68986
Yorba Linda city,Yorba Linda, California,CA,64407,65679,66419,66972,67565,67755,68296,68229
Redondo Beach city,Redondo Beach, California,CA,66940,67255,67578,67804,67892,68023,68109,67908
Camarillo city,Camarillo, California,CA,65293,65606,65807,66068,66736,67446,67468,67845
South San Francisco city,South San Francisco, California,CA,63752,64542,65742,66421,67021,67406,67397,67429
Palo Alto city,Palo Alto, California,CA,64576,65432,66258,66800,67031,66904,67490,67178
Yuba City city,Yuba City, California,CA,65650,65419,65382,65667,65888,66290,66429,66860
Lake Elsinore city,Lake Elsinore, California,CA,53744,55227,56231,57927,60357,62222,64088,66411
Laguna Niguel city,Laguna Niguel, California,CA,63131,63834,64262,64538,65270,65612,65382,66334
Lodi city,Lodi, California,CA,62280,62817,63180,63290,63792,64401,64695,65884
Madera city,Madera, California,CA,61524,61893,62442,62846,63416,63969,64545,65508
San Clemente city,San Clemente, California,CA,63603,64302,64727,64989,65123,65340,65411,65267
Santa Cruz city,Santa Cruz, California,CA,60591,61480,62040,62846,63299,64238,64545,65021
Rocklin city,Rocklin, California,CA,57462,58434,58998,59670,60132,61001,62733,64838
Tulare city,Tulare, California,CA,59463,59883,60781,61102,61662,62153,62808,63855
Pico Rivera city,Pico Rivera, California,CA,62967,63285,63567,63768,63853,63923,63732,63522
Eastvale city,Eastvale, California,CA,54053,55056,55816,56537,57798,59783,61369,63211
Montebello city,Montebello, California,CA,62508,62975,63264,63454,63537,63626,63415,63192
Encinitas city,Encinitas, California,CA,59689,60311,60991,61677,62169,62758,63124,63184
La Habra city,La Habra, California,CA,60393,61000,61382,61667,61893,61961,61797,62466
Brentwood city,Brentwood, California,CA,51823,52753,53592,55021,56978,58905,60688,62433
National City city,National City, California,CA,58634,59089,59468,59888,60271,60885,61160,61363
Monterey Park city,Monterey Park, California,CA,60237,60531,60786,60969,61042,61152,61117,61044
Dublin city,Dublin, California,CA,45910,46838,48784,52131,54673,57635,59682,60939
Petaluma city,Petaluma, California,CA,58020,58255,58785,59415,59842,60411,60593,60870
Cupertino city,Cupertino, California,CA,58719,59244,59915,60356,60751,60624,61016,60777
Gardena city,Gardena, California,CA,58850,59181,59500,59949,60041,60172,60138,60224
La Mesa city,La Mesa, California,CA,57157,57692,58203,58680,59004,59872,59955,60021
Woodland city,Woodland, California,CA,55547,55744,56281,56732,57376,58404,59102,60012
Porterville city,Porterville, California,CA,57437,57866,58072,58241,58344,59083,59059,59145
San Rafael city,San Rafael, California,CA,57803,58261,58522,59096,59275,59252,59131,59070
Huntington Park city,Huntington Park, California,CA,58132,58392,58650,58897,59106,59161,58962,58822
Arcadia city,Arcadia, California,CA,56392,56713,56985,57433,57768,58121,58570,58799
Santee city,Santee, California,CA,53647,54566,55475,56267,56970,57635,57876,58113
Gilroy city,Gilroy, California,CA,48948,49674,50757,51944,52585,53260,55396,57664
Diamond Bar city,Diamond Bar, California,CA,55584,55900,56198,56374,56458,56634,56827,56665
Hanford city,Hanford, California,CA,54409,54610,54571,54811,55169,55703,55768,56499
Fountain Valley city,Fountain Valley, California,CA,55484,56008,56433,56739,56840,56828,56631,56313
Novato city,Novato, California,CA,51982,52712,53296,54242,55002,55592,56139,55980
Highland city,Highland, California,CA,53226,53707,54016,54248,54443,54680,54864,55342
Paramount city,Paramount, California,CA,54119,54386,54693,54996,55085,55163,55004,54909
Colton city,Colton, California,CA,52276,52754,53028,53208,53829,54426,54632,54828
