City,Density,Population,square miles
"Merced, California",3542,82594,23
"Meriden, Connecticut",2506,59622,24
"Meridian, Idaho",3569,95623,27
"Mesa, Arizona",3551,484587,136
"Mesquite, Texas",3123,143736,46
"Miami Beach, Florida",12047,91917,8
"Miami Gardens, Florida",6202,113058,18
"Miami, Florida",12645,453579,36
"Midland, Texas",1868,134610,72
"Midwest City, Oklahoma",2349,57305,24
"Milford, Connecticut",2399,52536,22
"Milpitas, California",5705,77528,14
"Milwaukee, Wisconsin",6191,595047,96
"Minneapolis, Minnesota",7664,413651,54
"Minnetonka, Minnesota",1945,52369,27
"Miramar, Florida",4690,138449,30
"Mission Viejo, California",5434,96396,18
"Mission, Texas",2458,83563,34
"Missoula, Montana",2630,72364,28
"Missouri City, Texas",2624,74561,28
"Mobile, Alabama",1387,192904,139
"Modesto, California",5755,212175,37
"Montebello, California",7603,63335,8
"Monterey Park, California",7963,61075,8
"Montgomery, Alabama",1254,200022,160
"Moore, Oklahoma",2815,61415,22
"Moreno Valley, California",4008,205499,51
"Mount Pleasant, South Carolina",1867,84170,45
"Mount Prospect, Illinois",5239,54171,10
"Mount Vernon, New York",15568,68344,4
"Mountain View, California",6704,80447,12
"Muncie, Indiana",2537,69010,27
"Murfreesboro, Tennessee",2384,131947,55
"Murrieta, California",3326,111674,34
"Nampa, Idaho",2930,91382,31
"Napa, California",4508,80416,18
"Naperville, Illinois",3795,147122,39
"Nashua, New Hampshire",2849,87882,31
"Nashville, Tennessee",1390,660388,475
"National City, California",8399,61147,7
"New Bedford, Massachusetts",4752,95032,20
"New Braunfels, Texas",1686,73959,44
"New Britain, Connecticut",5419,72558,13
"New Brunswick, New Jersey",10881,56910,5
"New Haven, Connecticut",6956,129934,19
"New Orleans, Louisiana",2311,391495,169
"New Rochelle, New York",7687,79557,10
"New York, New York",28211,8537673,303
"Newark, New Jersey",11648,281764,24
"Newport Beach, California",3642,86688,24
"Newport News, Virginia",2646,181825,69
"Newton, Massachusetts",4991,89045,18
"Noblesville, Indiana",1918,60183,31
"Norfolk, Virginia",4529,245115,54
"Normal, Illinois",2957,54264,18
"Norman, Oklahoma",683,122180,179
"North Charleston, South Carolina",1493,109298,73
"North Las Vegas, Nevada",2355,238702,101
"North Little Rock, Arkansas",1287,66278,52
"North Miami, Florida",7389,62139,8
"North Port, Florida",645,64274,100
"North Richland Hills, Texas",3841,69798,18
"Norwalk, California",10935,106178,10
