Address,Category 0,Category 1,Category 2,City,Distance,Name,Out of Business,Price,Rating,Review Count,State
160 W Fort St,Cannabis Dispensaries,,,Las Vegas,4966.466507510566,Shango Marijuana Dispensary Las Vegas,False,$$$,3.0,57,NV
2200 W Lafayette Blvd,Cannabis Dispensaries,,,Sacramento,4786.002465206536,All About Wellness,False,$$,4.0,139,CA
2138 Michigan Ave,Cannabis Dispensaries,,,Sacramento,3642.5208959143565,Valley Health Options,False,$$,4.5,58,CA
1413 Brooklyn St,Cannabis Clinics,Cannabis Dispensaries,Cannabis Collective,Sacramento,4401.3703833712,A Therapeutic Alternative,False,$$$,3.5,68,CA
225 Gratiot Ave,Cannabis Clinics,Cannabis Dispensaries,Cannabis Collective,Sacramento,4820.605367433968,Florin Wellness Center,False,$$,4.0,58,CA
2520 Michigan Ave,Cannabis Dispensaries,,,Sacramento,3522.0292933785536,RCP Sacramento,False,$$,3.5,66,CA
3100 Woodward Ave,Cannabis Dispensaries,,,Sacramento,3466.283109169473,Alpine Alternative,False,$$,3.5,33,CA
441 W Canfield,Cannabis Dispensaries,,,Sacramento,2451.0059697351717,Pot Valet,False,$$,5.0,5,CA
1234 Library St,Cannabis Dispensaries,,,Sacramento,4786.58735823642,Doctors Orders,False,$$,3.0,44,CA
624 Brush St,Cannabis Dispensaries,,,Sacramento,5244.930545930927,Ohana Gardens,False,$$,5.0,5,CA
1454 Gratiot Ave,Cannabis Dispensaries,,,Sacramento,4812.29897019413,Horizon Non Profit Collective,False,$$,2.5,9,CA
76 W Adams Ave,Cannabis Dispensaries,,,Dixon,4275.543511857755,Dixon Wellness Collective,False,$$,4.0,21,CA
15 E Kirby St,Cannabis Dispensaries,,,Modesto,2060.390173028952,Medallion Wellness,False,$,3.5,17,CA
1413 Brooklyn St,Cannabis Dispensaries,,,Modesto,4401.3703833712,Patient Care First,False,$$,3.5,14,CA
2520 Michigan Ave,Cannabis Dispensaries,,,Modesto,3522.0292933785536,The Healing Flower,False,$$,3.0,2,CA
47 Watson St,Cannabis Dispensaries,,,Stockton,3488.0998284615575,Port City Alternative,False,$$,3.5,34,CA
3100 Woodward Ave,Cannabis Dispensaries,,,Empire,3466.283109169473,Empire Health & Wellness,False,$$,2.5,6,CA
1538 Centre St,Cannabis Dispensaries,,,Ceres,4595.922291224025,Kase's Journey,False,$$,5.0,1,CA
1426 Bagley Ave,Cannabis Dispensaries,,,San Mateo,4191.453902444791,Higher Ground Delivery,False,$$,4.0,4,CA
15 E Kirby St,Medical Cannabis Referrals,Head Shops,,Tucson,2060.390173028952,Tumbleweeds Health Center,False,$,3.5,15,AZ
1413 Brooklyn St,Cannabis Clinics,Cannabis Dispensaries,,Tucson,4401.3703833712,Earth's Healing,False,$$,3.5,16,AZ
3100 Woodward Ave,Cannabis Dispensaries,,,Tucson,3466.283109169473,The Prime Leaf,False,$$,3.0,10,AZ
4265 Woodward Ave,Cannabis Dispensaries,,,Tucson,2656.3899477932446,D2 Dispensary,False,$$,3.5,5,AZ
2130 Michigan Ave,Cannabis Dispensaries,,,Tacoma,3651.2396598594514,Zips Cannabis,False,$$,3.5,22,WA
4730 W Vernor Hwy,Cannabis Dispensaries,,,Tacoma,4871.9657825675595,Green Token Cannabis,False,$,4.0,11,WA
2520 Michigan Ave,Cannabis Dispensaries,,,Tacoma,3522.0292933785536,Diamond Green Recreational Marijuana,False,$$$,4.0,13,WA
1431 Times Square,Cannabis Dispensaries,,,Tacoma,4467.444704115641,Cannabis Oasis,False,$$,3.5,8,WA
4265 Woodward Ave,Cannabis Dispensaries,,,Fife,2656.3899477932446,Commencement Bay Cannabis,False,$$,3.5,23,WA
